Record_ID,Date,Shift,Line,Production_Volume,Average_Cycle_Time,Defects_Total,Defect_Rate,Downtime_Total,Defects_Dimensional,Defects_Surface,Defects_Assembly,Defects_Material,Defects_Other,Downtime_Maintenance,Downtime_Setup/Changeover,Downtime_Breakdown,Downtime_Material Shortage,Downtime_Operator Absence,Quality_FPY,Quality_DPMO,Quality_RTY,Quality_Sigma_Level,TimeMotion_Setup_Time_Minutes,TimeMotion_Movement_Time_Seconds,TimeMotion_Machine_Time_Seconds,TimeMotion_Operator_Utilization,TimeMotion_WIP_Average,Efficiency_Factor,Quality_Factor,Reliability_Factor
25,1/12/2023,Morning,Line A,393,65.94,2,0.0051,1.395257404,0,1,0,1,0,0.7,0.3,0.2,0.2,0.1,0.9949,5089,0.9924,6,10.8,13.2,52.7,0.56,17.1,0.735,0.801,0.852
26,1/12/2023,Afternoon,Line A,376,60.02,3,0.008,0,1,1,0,1,0,0,0,0,0,0,0.992,7978,0.9881,6,23.1,10.6,49.4,0.64,11.7,0.781,0.817,0.803
27,1/12/2023,Night,Line A,407,65.29,1,0.0025,3.379684415,1,0,0,0,0,0.8,1.1,0.7,0.5,0.3,0.9975,2457,0.9963,6,17,13.5,51.8,0.39,16.2,0.745,0.797,0.854
28,1/13/2023,Morning,Line A,362,63.49,2,0.0055,0,1,0,1,0,0,0,0,0,0,0,0.9945,5524,0.9917,6,13.7,5.3,58.2,0.56,24.6,0.742,0.827,0.815
29,1/13/2023,Afternoon,Line A,356,64.25,1,0.0028,3.811253467,0,0,0,1,0,1,0.8,0.8,0.7,0.5,0.9972,2808,0.9958,6,8.9,14.1,50.2,0.5,27.1,0.741,0.804,0.854
30,1/13/2023,Night,Line A,399,61.19,2,0.005,3.72439489,0,1,1,0,0,0.8,1,1.2,0.4,0.3,0.995,5012,0.9925,6,20.7,8.5,52.7,0.45,16.9,0.774,0.817,0.835
31,1/16/2023,Morning,Line A,362,62.72,0,0,13.39885936,0,0,0,0,0,5.6,3.2,1.5,2.4,0.7,1,0,1,6,20.9,10.8,51.9,0.54,20.1,0.735,0.812,0.808
32,1/16/2023,Afternoon,Line A,404,60.86,2,0.005,4.525766692,1,0,1,0,0,1.2,1.4,1,0.5,0.4,0.995,4950,0.9926,6,3.4,11.2,49.7,0.65,5.8,0.787,0.791,0.795
33,1/16/2023,Night,Line A,345,67.26,1,0.0029,5.072390104,1,0,0,0,0,1.5,1.5,1.2,0.4,0.5,0.9971,2898,0.9957,6,20.8,8.1,59.1,0.46,17,0.713,0.778,0.795
34,1/17/2023,Morning,Line A,362,65.25,1,0.0028,5.594561445,1,0,0,0,0,1.8,1.7,1,0.7,0.4,0.9972,2762,0.9959,6,19.4,16.2,49.1,0.51,6.7,0.714,0.827,0.781
35,1/17/2023,Afternoon,Line A,374,66.69,2,0.0053,2.768882826,0,2,0,0,0,0.6,0.6,0.7,0.3,0.5,0.9947,5347,0.992,6,14.9,12,54.7,0.43,23,0.753,0.779,0.791
36,1/17/2023,Night,Line A,391,61.36,3,0.0077,3.020932386,1,0,2,0,0,1.2,0.7,0.5,0.3,0.3,0.9923,7672,0.9885,6,29.5,11.6,49.8,0.5,15.9,0.764,0.792,0.841
37,1/18/2023,Morning,Line A,404,63.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,20.5,5.1,58.2,0.46,12,0.759,0.829,0.803
38,1/18/2023,Afternoon,Line A,341,62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,10.4,17,45.1,0.61,18.3,0.765,0.782,0.79
39,1/18/2023,Night,Line A,386,59.2,1,0.0026,0,0,1,0,0,0,0,0,0,0,0,0.9974,2590,0.9961,6,20.6,11.8,47.4,0.61,24.1,0.773,0.82,0.858
40,1/19/2023,Morning,Line A,385,62.29,1,0.0026,7.317457443,0,0,0,1,0,2.6,1.5,1.5,0.7,1.1,0.9974,2597,0.9961,6,11.5,13.6,48.7,0.58,13.6,0.784,0.835,0.824
41,1/19/2023,Afternoon,Line A,322,64.87,0,0,7.170152952,0,0,0,0,0,2.3,2.2,1.1,0.9,0.6,1,0,1,6,15.6,10.3,54.6,0.55,15.8,0.725,0.84,0.824
42,1/19/2023,Night,Line A,361,64.17,4,0.0111,0,1,0,1,1,1,0,0,0,0,0,0.9889,11080,0.9834,6,27.2,12.7,51.5,0.5,19.1,0.742,0.768,0.842
43,1/20/2023,Morning,Line A,354,59.09,2,0.0056,1.084334284,0,2,0,0,0,0.3,0.3,0.2,0.2,0.1,0.9944,5649,0.9915,6,26.5,11.8,47.3,0.45,13.7,0.776,0.818,0.782
44,1/20/2023,Afternoon,Line A,389,62.24,1,0.0026,0.617534716,0,0,0,1,0,0.2,0.2,0.1,0.1,0.1,0.9974,2570,0.9961,6,15.3,14,48.2,0.43,24.3,0.735,0.771,0.838
45,1/20/2023,Night,Line A,364,64.33,6,0.0165,2.813773512,2,2,0,1,1,1,0.7,0.5,0.4,0.3,0.9835,16483,0.9754,6,16.3,16.5,47.9,0.65,21.5,0.763,0.786,0.81
46,1/23/2023,Morning,Line A,401,62.09,1,0.0025,0,1,0,0,0,0,0,0,0,0,0,0.9975,2493,0.9963,6,19.6,11,51.1,0.53,24.1,0.754,0.783,0.795
47,1/23/2023,Afternoon,Line A,414,63.12,2,0.0048,0,1,0,1,0,0,0,0,0,0,0,0.9952,4830,0.9928,6,4.5,13.6,49.5,0.64,18.7,0.786,0.817,0.805
48,1/23/2023,Night,Line A,350,65.22,1,0.0029,0,0,1,0,0,0,0,0,0,0,0,0.9971,2857,0.9957,6,23.7,16.3,48.9,0.59,28.6,0.716,0.819,0.806
49,1/24/2023,Morning,Line A,384,64.02,1,0.0026,2.773895923,0,0,0,1,0,0.9,0.7,0.6,0.3,0.3,0.9974,2604,0.9961,6,18,11.3,52.7,0.51,4.7,0.738,0.806,0.794
50,1/24/2023,Afternoon,Line A,353,61.72,2,0.0057,2.834211191,1,1,0,0,0,0.8,0.7,0.7,0.5,0.2,0.9943,5665,0.9915,6,25,12.2,49.6,0.52,11.1,0.764,0.816,0.831
51,1/24/2023,Night,Line A,368,62.36,2,0.0054,6.543708293,0,1,0,1,0,2,1.2,1.2,1.4,0.7,0.9946,5434,0.9919,6,14.7,14,48.4,0.58,18.7,0.773,0.831,0.794
52,1/25/2023,Morning,Line A,360,58.91,2,0.0056,7.503659713,0,0,1,0,1,2.6,2,1.7,0.8,0.5,0.9944,5555,0.9917,6,24.8,7.1,51.8,0.51,19.6,0.762,0.773,0.791
53,1/25/2023,Afternoon,Line A,377,63.29,2,0.0053,4.307702741,0,0,0,2,0,1.6,0.8,0.8,0.5,0.6,0.9947,5305,0.9921,6,12.7,4.2,59.1,0.48,12.3,0.747,0.787,0.816
54,1/25/2023,Night,Line A,373,65.94,4,0.0107,2.096032647,2,2,0,0,0,0.7,0.5,0.4,0.2,0.3,0.9893,10723,0.984,6,8,12,54,0.58,27.7,0.732,0.77,0.803
55,1/26/2023,Morning,Line A,350,61.71,1,0.0029,12.04055429,0,0,0,1,0,4,2.4,3,1.4,1.2,0.9971,2857,0.9957,6,19.7,12.3,49.4,0.5,23.2,0.766,0.802,0.83
56,1/26/2023,Afternoon,Line A,375,66.62,4,0.0107,5.100814684,4,0,0,0,0,1.8,1.1,1.1,0.6,0.5,0.9893,10666,0.984,6,10.9,12.3,54.4,0.43,14.9,0.719,0.796,0.833
57,1/26/2023,Night,Line A,347,62.72,1,0.0029,0,1,0,0,0,0,0,0,0,0,0,0.9971,2881,0.9957,6,20.9,20.4,42.3,0.47,18.3,0.739,0.761,0.824
58,1/27/2023,Morning,Line A,339,65.31,3,0.0088,6.662971946,2,0,1,0,0,2.7,1.4,0.8,1.1,0.7,0.9912,8849,0.9868,6,20.7,12.9,52.5,0.48,9.5,0.713,0.784,0.82
59,1/27/2023,Afternoon,Line A,309,65.28,1,0.0032,5.533708574,1,0,0,0,0,1.5,1.7,1,0.8,0.6,0.9968,3236,0.9951,6,26.6,14,51.2,0.46,13.1,0.719,0.783,0.846
60,1/27/2023,Night,Line A,366,63.96,2,0.0055,1.950775972,0,0,2,0,0,0.6,0.4,0.4,0.3,0.2,0.9945,5464,0.9918,6,28.1,8.8,55.1,0.49,16.6,0.736,0.775,0.784
61,1/30/2023,Morning,Line A,361,65.36,1,0.0028,0,0,1,0,0,0,0,0,0,0,0,0.9972,2770,0.9958,6,19.8,11.9,53.5,0.4,21.1,0.72,0.801,0.852
62,1/30/2023,Afternoon,Line A,370,64.07,1,0.0027,6.641019706,1,0,0,0,0,2.2,1.7,1.2,0.7,0.8,0.9973,2702,0.9959,6,18.6,15,49.1,0.48,25.1,0.714,0.808,0.86
63,1/30/2023,Night,Line A,380,66.67,0,0,9.764796629,0,0,0,0,0,2.6,3.3,1.3,1.4,1.2,1,0,1,6,19.8,15,51.7,0.45,17.9,0.75,0.778,0.79
64,1/31/2023,Morning,Line A,336,66.69,1,0.003,7.75460575,0,0,1,0,0,2.2,2.2,1.7,1.1,0.5,0.997,2976,0.9955,6,15.2,14.6,52.1,0.54,10.2,0.719,0.795,0.85
65,1/31/2023,Afternoon,Line A,342,67.46,1,0.0029,11.93168594,1,0,0,0,0,3.6,2,2.9,1.9,1.6,0.9971,2923,0.9956,6,22.1,22.3,45.2,0.55,25.2,0.737,0.83,0.787
66,1/31/2023,Night,Line A,367,60.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,17.4,13.7,46.8,0.54,23,0.773,0.806,0.846
67,2/1/2023,Morning,Line A,394,62.46,3,0.0076,0,1,0,1,0,1,0,0,0,0,0,0.9924,7614,0.9886,6,20.5,15.7,46.8,0.46,12,0.775,0.799,0.861
68,2/1/2023,Afternoon,Line A,402,55.99,0,0,0.631268511,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,1,0,1,6,13.9,11.3,44.7,0.63,18.6,0.818,0.787,0.858
69,2/1/2023,Night,Line A,366,65.99,5,0.0137,4.647495251,3,2,0,0,0,1.4,1.5,0.6,0.5,0.7,0.9863,13661,0.9796,6,19,12.1,53.8,0.55,26.9,0.751,0.821,0.873
70,2/2/2023,Morning,Line A,361,64.47,2,0.0055,4.352266887,1,1,0,0,0,1.6,1,0.8,0.7,0.3,0.9945,5540,0.9917,6,4.8,13.2,51.3,0.53,20.9,0.774,0.784,0.835
71,2/2/2023,Afternoon,Line A,393,60.92,4,0.0102,5.260602707,2,0,0,1,1,1.5,1.5,0.7,0.9,0.6,0.9898,10178,0.9848,6,26.3,10.9,50,0.48,21.2,0.775,0.848,0.871
72,2/2/2023,Night,Line A,369,62.56,1,0.0027,8.735086834,0,0,0,0,1,2.6,1.9,1.8,1.2,1.1,0.9973,2710,0.9959,6,10.5,7.1,55.5,0.52,26.5,0.781,0.795,0.859
73,2/3/2023,Morning,Line A,390,62.34,3,0.0077,9.914018266,2,0,0,1,0,3,2.8,2.2,1.3,0.7,0.9923,7692,0.9885,6,25.9,12.7,49.6,0.54,16.5,0.768,0.852,0.829
74,2/3/2023,Afternoon,Line A,391,62.76,1,0.0026,0.235855763,0,0,1,0,0,0.1,0.1,0,0,0,0.9974,2557,0.9962,6,23,8.5,54.3,0.54,14.6,0.747,0.824,0.866
75,2/3/2023,Night,Line A,425,57.44,1,0.0024,2.570754576,1,0,0,0,0,0.7,0.6,0.6,0.4,0.3,0.9976,2352,0.9965,6,16.3,6.7,50.8,0.59,14.8,0.814,0.809,0.872
76,2/6/2023,Morning,Line A,409,60.57,4,0.0098,0,3,1,0,0,0,0,0,0,0,0,0.9902,9779,0.9854,6,12.4,5.4,55.2,0.63,14.4,0.807,0.785,0.842
77,2/6/2023,Afternoon,Line A,401,59.7,1,0.0025,3.533773166,0,0,1,0,0,1.2,0.7,0.6,0.5,0.4,0.9975,2493,0.9963,6,16,7.6,52.1,0.59,25.9,0.803,0.858,0.819
78,2/6/2023,Night,Line A,387,60.33,3,0.0078,1.446872714,3,0,0,0,0,0.4,0.4,0.2,0.3,0.1,0.9922,7751,0.9884,6,16.3,10.8,49.6,0.44,16.6,0.777,0.801,0.851
79,2/7/2023,Morning,Line A,396,59.29,0,0,0.997981281,0,0,0,0,0,0.3,0.2,0.2,0.2,0.1,1,0,1,6,25.6,10.9,48.4,0.56,14.2,0.817,0.846,0.811
80,2/7/2023,Afternoon,Line A,383,62.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,19.6,14,48.7,0.48,17.7,0.776,0.855,0.828
81,2/7/2023,Night,Line A,361,61.44,2,0.0055,2.583750713,1,1,0,0,0,0.7,0.7,0.6,0.4,0.2,0.9945,5540,0.9917,6,17.4,14.9,46.5,0.53,14.8,0.765,0.802,0.86
82,2/8/2023,Morning,Line A,371,60.91,1,0.0027,1.457458652,0,0,0,0,1,0.4,0.4,0.4,0.2,0.1,0.9973,2695,0.996,6,18,16.6,44.3,0.57,17.3,0.792,0.854,0.846
83,2/8/2023,Afternoon,Line A,391,64.81,3,0.0077,3.18985378,2,0,1,0,0,0.9,0.7,0.8,0.4,0.3,0.9923,7672,0.9885,6,15.2,16.3,48.5,0.63,4.9,0.746,0.782,0.871
84,2/8/2023,Night,Line A,372,62.4,3,0.0081,0,0,1,1,0,1,0,0,0,0,0,0.9919,8064,0.9879,6,9.7,7.3,55.1,0.45,19.9,0.775,0.795,0.836
85,2/9/2023,Morning,Line A,363,64.92,2,0.0055,3.214053095,0,1,1,0,0,1,0.8,0.7,0.4,0.3,0.9945,5509,0.9917,6,18.4,15.8,49.2,0.61,27.6,0.771,0.79,0.859
86,2/9/2023,Afternoon,Line A,352,61.51,0,0,10.93249422,0,0,0,0,0,2.5,3.4,2.2,1.4,1.4,1,0,1,6,22.6,10.9,50.6,0.52,10.6,0.762,0.822,0.831
87,2/9/2023,Night,Line A,414,58.11,2,0.0048,0,1,0,0,1,0,0,0,0,0,0,0.9952,4830,0.9928,6,23.6,9.3,48.8,0.55,20.5,0.816,0.845,0.818
88,2/10/2023,Morning,Line A,395,58.03,1,0.0025,6.372058585,1,0,0,0,0,2.4,1.3,1.1,1,0.5,0.9975,2531,0.9962,6,11.7,13.2,44.8,0.47,10,0.811,0.838,0.848
89,2/10/2023,Afternoon,Line A,436,59.05,0,0,0.861230771,0,0,0,0,0,0.3,0.2,0.1,0.1,0.1,1,0,1,6,12.3,11.4,47.6,0.63,17.3,0.795,0.807,0.8
90,2/10/2023,Night,Line A,389,61.3,4,0.0103,0,1,2,1,0,0,0,0,0,0,0,0.9897,10282,0.9846,6,12.1,12.7,48.6,0.59,21.4,0.787,0.837,0.867
91,2/13/2023,Morning,Line A,375,63.84,2,0.0053,2.755933686,0,1,0,1,0,0.9,0.7,0.5,0.5,0.2,0.9947,5333,0.992,6,21.9,11.5,52.3,0.48,13.9,0.762,0.836,0.864
92,2/13/2023,Afternoon,Line A,389,60.41,3,0.0077,6.210460145,0,1,0,2,0,2.2,1.2,1.5,0.7,0.6,0.9923,7712,0.9885,6,10.3,14.5,45.9,0.47,28.6,0.787,0.8,0.816
93,2/13/2023,Night,Line A,389,59.34,3,0.0077,8.135109149,1,0,0,2,0,2.7,1.6,1.5,1.5,0.9,0.9923,7712,0.9885,6,23.3,12,47.4,0.5,13.7,0.762,0.797,0.821
94,2/14/2023,Morning,Line A,368,62.77,2,0.0054,1.571149135,0,1,1,0,0,0.4,0.3,0.3,0.3,0.2,0.9946,5434,0.9919,6,17.9,15.4,47.4,0.69,27.9,0.781,0.78,0.831
95,2/14/2023,Afternoon,Line A,381,62.96,1,0.0026,0,1,0,0,0,0,0,0,0,0,0,0.9974,2624,0.9961,6,19.6,13.3,49.6,0.64,27.3,0.761,0.808,0.85
96,2/14/2023,Night,Line A,396,59.43,1,0.0025,9.495106822,0,1,0,0,0,2.7,2.5,1.7,1.5,1.1,0.9975,2525,0.9962,6,23.6,9,50.4,0.6,23.3,0.782,0.82,0.833
97,2/15/2023,Morning,Line A,381,58.67,2,0.0052,3.445035486,2,0,0,0,0,1.1,0.6,0.4,0.9,0.5,0.9948,5249,0.9921,6,19.9,12.8,45.9,0.5,25,0.781,0.81,0.812
98,2/15/2023,Afternoon,Line A,394,61.61,1,0.0025,2.936672293,1,0,0,0,0,1.1,0.9,0.4,0.4,0.2,0.9975,2538,0.9962,6,18,14.4,47.2,0.55,10.8,0.793,0.796,0.859
99,2/15/2023,Night,Line A,390,59.82,1,0.0026,7.505208708,0,1,0,0,0,2.4,1.7,1.3,1.1,1,0.9974,2564,0.9962,6,17.8,13.2,46.6,0.52,26.8,0.783,0.811,0.877
100,2/16/2023,Morning,Line A,360,65.17,0,0,11.32893783,0,0,0,0,0,3.1,3.1,2.6,1.4,1.2,1,0,1,6,17,11.3,53.9,0.54,21.3,0.76,0.787,0.87
101,2/16/2023,Afternoon,Line A,307,65.94,1,0.0033,5.516388158,0,1,0,0,0,1.7,1.2,1.5,0.7,0.4,0.9967,3257,0.9951,6,7.3,10.2,55.7,0.46,27.8,0.742,0.843,0.806
102,2/16/2023,Night,Line A,405,61.75,0,0,6.352532826,0,0,0,0,0,2,1.3,1.4,1,0.6,1,0,1,6,19.9,18.5,43.2,0.56,40.3,0.78,0.789,0.844
103,2/17/2023,Morning,Line A,393,60.06,2,0.0051,1.161151133,0,0,0,1,1,0.4,0.2,0.2,0.2,0.2,0.9949,5089,0.9924,6,14.5,9.6,50.5,0.56,10.5,0.814,0.799,0.852
104,2/17/2023,Afternoon,Line A,344,60.96,1,0.0029,0,0,0,1,0,0,0,0,0,0,0,0.9971,2906,0.9956,6,24.8,17,44,0.77,11.2,0.764,0.85,0.818
105,2/17/2023,Night,Line A,408,56.52,1,0.0025,0,0,0,1,0,0,0,0,0,0,0,0.9975,2450,0.9963,6,11.9,9.1,47.4,0.59,17.9,0.814,0.825,0.879
106,2/20/2023,Morning,Line A,364,59.3,3,0.0082,2.417658679,1,0,1,0,1,0.5,0.7,0.6,0.3,0.3,0.9918,8241,0.9877,6,18.5,11.3,48,0.62,16.6,0.771,0.801,0.873
107,2/20/2023,Afternoon,Line A,383,61.25,4,0.0104,10.74718219,2,2,0,0,0,3.2,2.7,2.4,1.6,0.9,0.9896,10443,0.9844,6,28.1,11.8,49.4,0.61,18.8,0.786,0.802,0.85
108,2/20/2023,Night,Line A,358,62.82,3,0.0084,10.56372979,1,0,0,1,1,2.6,2,2.9,1.4,1.7,0.9916,8379,0.9875,6,11.8,10.1,52.7,0.43,6.2,0.784,0.827,0.867
109,2/21/2023,Morning,Line A,396,61.85,2,0.0051,1.798592958,1,0,1,0,0,0.7,0.4,0.3,0.2,0.2,0.9949,5050,0.9924,6,16.4,12.7,49.2,0.63,11.5,0.769,0.84,0.858
110,2/21/2023,Afternoon,Line A,401,60.51,2,0.005,2.389685813,0,1,1,0,0,0.5,0.9,0.4,0.4,0.3,0.995,4987,0.9925,6,25.6,14.6,45.9,0.58,17.6,0.809,0.805,0.874
111,2/21/2023,Night,Line A,385,66.86,2,0.0052,2.746516098,2,0,0,0,0,0.7,0.7,0.7,0.4,0.2,0.9948,5194,0.9922,6,24.1,8.1,58.7,0.37,31.9,0.752,0.83,0.871
112,2/22/2023,Morning,Line A,389,64.33,1,0.0026,1.046962909,1,0,0,0,0,0.3,0.3,0.2,0.2,0.1,0.9974,2570,0.9961,6,18.4,13.3,51,0.57,18.1,0.76,0.837,0.808
113,2/22/2023,Afternoon,Line A,378,60.1,2,0.0053,3.170840104,1,0,0,1,0,1,0.9,0.5,0.4,0.3,0.9947,5291,0.9921,6,15.9,14.4,45.7,0.4,18.6,0.778,0.816,0.816
114,2/22/2023,Night,Line A,405,60.14,3,0.0074,1.741358966,1,1,1,0,0,0.6,0.3,0.4,0.3,0.1,0.9926,7407,0.9889,6,24.8,15.4,44.7,0.42,22.4,0.815,0.823,0.805
115,2/23/2023,Morning,Line A,348,63.38,1,0.0029,5.282091071,0,0,0,0,1,1.7,1.2,1.1,0.6,0.7,0.9971,2873,0.9957,6,5.5,12.8,50.6,0.52,33,0.742,0.827,0.834
116,2/23/2023,Afternoon,Line A,424,59.07,4,0.0094,1.720169041,3,0,0,1,0,0.6,0.4,0.2,0.4,0.1,0.9906,9433,0.9859,6,11.6,13,46.1,0.54,19,0.812,0.802,0.875
117,2/23/2023,Night,Line A,376,60.99,2,0.0053,1.73104311,2,0,0,0,0,0.5,0.3,0.4,0.4,0.2,0.9947,5319,0.992,6,14.5,10.9,50.1,0.61,24.8,0.796,0.802,0.876
118,2/24/2023,Morning,Line A,360,65.21,0,0,0.86963425,0,0,0,0,0,0.3,0.2,0.1,0.1,0.1,1,0,1,6,21.9,16.1,49.1,0.73,17.6,0.76,0.84,0.87
119,2/24/2023,Afternoon,Line A,400,57.26,2,0.005,5.336294856,2,0,0,0,0,1.1,1.6,1.2,1,0.5,0.995,5000,0.9925,6,13.7,10.1,47.1,0.45,10.4,0.788,0.842,0.809
120,2/24/2023,Night,Line A,364,61.41,5,0.0137,1.315462488,1,1,1,2,0,0.4,0.4,0.2,0.2,0.1,0.9863,13736,0.9795,6,18.2,11.9,49.5,0.66,18.3,0.759,0.799,0.815
121,2/27/2023,Morning,Line A,407,62.93,3,0.0074,2.339906124,1,0,2,0,0,0.9,0.6,0.3,0.4,0.2,0.9926,7371,0.989,6,14.9,10.5,52.4,0.58,23.9,0.791,0.786,0.817
122,2/27/2023,Afternoon,Line A,385,57.68,1,0.0026,1.312247794,1,0,0,0,0,0.3,0.3,0.4,0.2,0.1,0.9974,2597,0.9961,6,20.9,9.7,48,0.47,11.8,0.794,0.787,0.837
123,2/27/2023,Night,Line A,406,60.34,1,0.0025,1.411709503,0,0,1,0,0,0.5,0.4,0.2,0.2,0.2,0.9975,2463,0.9963,6,20.3,11.9,48.4,0.31,29.3,0.78,0.835,0.817
124,2/28/2023,Morning,Line A,370,62.79,2,0.0054,10.29704822,1,1,0,0,0,4.5,1.8,2,1.5,0.5,0.9946,5405,0.9919,6,14.3,10.3,52.5,0.56,19.7,0.756,0.842,0.872
